Country,Capital,Continent
Nauru,Yaren,Oceania
Nepal,Kathmandu,Asia
Netherlands,Amsterdam,Europe
New Zealand,Wellington,Oceania
Nicaragua,Managua,North America
Niger,Niamey,Africa
Nigeria,Abuja,Africa
Norway,Oslo,Europe
Oman,Muscat,Asia
Pakistan,Islamabad,Asia
Palau,Ngerulmud,Oceania
Panama,Panama City,North America
Papua New Guinea,Port Moresby,Oceania
Paraguay,Asuncion,South America
Peru,Lima,South America
Philippines,Manila,Asia
Poland,Warsaw,Europe
Portugal,Lisbon,Europe
Qatar,Doha,Asia
Romania,Bucharest,Europe
Russia,Moscow,Asia
Rwanda,Kigali,Africa
Saint Kitts and Nevis,Basseterre,North America
Saint Lucia,Castries,North America
Saint Vincent and the Grenadines,Kingstown,North America
Samoa,Apia,Oceania
San Marino,San Marino,Europe
Sao Tome and Principe,Sao Tome,Africa
Saudi Arabia,Riyadh,Asia
Senegal,Dakar,Africa
Serbia,Belgrade,Europe
Seychelles,Victoria,Africa
Sierra Leone,Freetown,Africa
Singapore,Singapore,Asia
Sint Maarten,Philipsburg,North America
Slovakia,Bratislava,Europe
Slovenia,Ljubljana,Europe
Solomon Islands,Honiara,Oceania
Somalia,Mogadishu,Africa
South Africa,Pretoria,Africa
South Sudan,Juba,Africa
Spain,Madrid,Europe
Sri Lanka,Colombo,Asia
Sudan,Khartoum,Africa
Suriname,Paramaribo,South America
Swaziland,Mbabane,Africa
Sweden,Stockholm,Europe
Switzerland,Bern,Europe
Syria,Damascus,Asia
Tajikistan,Dushanbe,Asia
Tanzania,Dodoma,Africa
Thailand,Bangkok,Asia
Timor-Leste (East Timor),Dili,Asia
Togo,Lome,Africa
Tonga,Nuku'alofa,Oceania
Trinidad and Tobago,Port of Spain,North America
Tunisia,Tunis,Africa
Turkey,Ankara,Asia
Turkmenistan,Ashgabat,Asia
Tuvalu,Funafuti,Oceania
Uganda,Kampala,Africa
Ukraine,Kiev,Europe
United Arab Emirates,Abu Dhabi,Asia
United Kingdom,London,Europe
United States,"Washington, D.C.",North America
Uruguay,Montevideo,South America
Uzbekistan,Tashkent,Asia
Vanuatu,Port Vila,Oceania
Vatican City,Vatican City,Europe
Venezuela,Caracas,South America
Vietnam,Hanoi,Asia
Yemen,Sana'a,Asia
Zambia,Lusaka,Africa
Zimbabwe,Harare,Africa
